Non-Ordinary step!!. step=38044, t=114132, gorputza=80,k=3
Non-Ordinary step!!. step=40283, t=120849, gorputza=79,k=4
Non-Ordinary step!!. step=40283, t=120849, gorputza=80,k=4
Non-Ordinary step!!. step=40284, t=120852, gorputza=78,k=4
Non-Ordinary step!!. step=40284, t=120852, gorputza=79,k=4
Non-Ordinary step!!. step=40284, t=120852, gorputza=80,k=4
Non-Ordinary step!!. step=40285, t=120855, gorputza=78,k=4
Non-Ordinary step!!. step=40285, t=120855, gorputza=79,k=4
Non-Ordinary step!!. step=40286, t=120858, gorputza=79,k=4
Non-Ordinary step!!. step=40286, t=120858, gorputza=80,k=4
Non-Ordinary step!!. step=40287, t=120861, gorputza=78,k=4
Non-Ordinary step!!. step=40287, t=120861, gorputza=80,k=4
Non-Ordinary step!!. step=40288, t=120864, gorputza=79,k=3
Non-Ordinary step!!. step=40288, t=120864, gorputza=80,k=3
Non-Ordinary step!!. step=55280, t=165840, gorputza=83,k=3
Non-Ordinary step!!. step=55281, t=165843, gorputza=82,k=4
Non-Ordinary step!!. step=55281, t=165843, gorputza=83,k=4
Non-Ordinary step!!. step=55282, t=165846, gorputza=81,k=4
Non-Ordinary step!!. step=55282, t=165846, gorputza=82,k=4
Non-Ordinary step!!. step=55283, t=165849, gorputza=81,k=3
Non-Ordinary step!!. step=55283, t=165849, gorputza=82,k=3
Non-Ordinary step!!. step=55283, t=165849, gorputza=83,k=3
Non-Ordinary step!!. step=55284, t=165852, gorputza=83,k=3
Non-Ordinary step!!. step=108819, t=326457, gorputza=74,k=4
Non-Ordinary step!!. step=108819, t=326457, gorputza=77,k=4
Non-Ordinary step!!. step=108820, t=326460, gorputza=72,k=4
Non-Ordinary step!!. step=108820, t=326460, gorputza=73,k=4
Non-Ordinary step!!. step=108820, t=326460, gorputza=74,k=4
Non-Ordinary step!!. step=108820, t=326460, gorputza=77,k=4
Non-Ordinary step!!. step=108821, t=326463, gorputza=72,k=4
Non-Ordinary step!!. step=108821, t=326463, gorputza=73,k=4
Non-Ordinary step!!. step=108821, t=326463, gorputza=74,k=4
Non-Ordinary step!!. step=108821, t=326463, gorputza=75,k=4
Non-Ordinary step!!. step=108821, t=326463, gorputza=76,k=4
Non-Ordinary step!!. step=108821, t=326463, gorputza=77,k=4
Non-Ordinary step!!. step=108822, t=326466, gorputza=72,k=4
Non-Ordinary step!!. step=108822, t=326466, gorputza=73,k=4
Non-Ordinary step!!. step=108822, t=326466, gorputza=74,k=4
Non-Ordinary step!!. step=108822, t=326466, gorputza=75,k=4
Non-Ordinary step!!. step=108822, t=326466, gorputza=76,k=4
Non-Ordinary step!!. step=108822, t=326466, gorputza=77,k=4
Non-Ordinary step!!. step=108823, t=326469, gorputza=72,k=4
Non-Ordinary step!!. step=108823, t=326469, gorputza=73,k=4
Non-Ordinary step!!. step=108823, t=326469, gorputza=75,k=4
Non-Ordinary step!!. step=141958, t=425874, gorputza=74,k=4
Non-Ordinary step!!. step=141958, t=425874, gorputza=77,k=4
Non-Ordinary step!!. step=141959, t=425877, gorputza=72,k=4
Non-Ordinary step!!. step=141959, t=425877, gorputza=73,k=4
Non-Ordinary step!!. step=141959, t=425877, gorputza=74,k=4
Non-Ordinary step!!. step=141959, t=425877, gorputza=75,k=4
Non-Ordinary step!!. step=141959, t=425877, gorputza=76,k=4
Non-Ordinary step!!. step=141959, t=425877, gorputza=77,k=4
Non-Ordinary step!!. step=141960, t=425880, gorputza=72,k=4
Non-Ordinary step!!. step=141960, t=425880, gorputza=73,k=4
Non-Ordinary step!!. step=141960, t=425880, gorputza=74,k=4
Non-Ordinary step!!. step=141960, t=425880, gorputza=75,k=4
Non-Ordinary step!!. step=141960, t=425880, gorputza=76,k=4
Non-Ordinary step!!. step=141961, t=425883, gorputza=74,k=3
Non-Ordinary step!!. step=141961, t=425883, gorputza=77,k=3
Non-Ordinary step!!. step=175096, t=525288, gorputza=72,k=4
Non-Ordinary step!!. step=175096, t=525288, gorputza=74,k=4
Non-Ordinary step!!. step=175096, t=525288, gorputza=75,k=4
Non-Ordinary step!!. step=175096, t=525288, gorputza=77,k=4
Non-Ordinary step!!. step=175097, t=525291, gorputza=72,k=5
Non-Ordinary step!!. step=175097, t=525291, gorputza=73,k=5
Non-Ordinary step!!. step=175097, t=525291, gorputza=74,k=5
Non-Ordinary step!!. step=175097, t=525291, gorputza=75,k=5
Non-Ordinary step!!. step=175097, t=525291, gorputza=76,k=5
Non-Ordinary step!!. step=175097, t=525291, gorputza=77,k=5
Non-Ordinary step!!. step=175098, t=525294, gorputza=28,k=8
Non-Ordinary step!!. step=175098, t=525294, gorputza=29,k=8
Non-Ordinary step!!. step=175098, t=525294, gorputza=32,k=8
Non-Ordinary step!!. step=175098, t=525294, gorputza=72,k=8
Non-Ordinary step!!. step=175098, t=525294, gorputza=73,k=8
Non-Ordinary step!!. step=175098, t=525294, gorputza=74,k=8
Non-Ordinary step!!. step=175098, t=525294, gorputza=75,k=8
