Non-Ordinary step!!. step=8011, t=120848, gorputza=79,k=4
Non-Ordinary step!!. step=8011, t=120848, gorputza=80,k=4
Non-Ordinary step!!. step=21641, t=326459, gorputza=72,k=4
Non-Ordinary step!!. step=21641, t=326459, gorputza=73,k=4
Non-Ordinary step!!. step=21641, t=326459, gorputza=74,k=4
Non-Ordinary step!!. step=21641, t=326459, gorputza=75,k=4
Non-Ordinary step!!. step=21641, t=326459, gorputza=77,k=4
Non-Ordinary step!!. step=28231, t=425871, gorputza=73,k=3
Non-Ordinary step!!. step=28231, t=425871, gorputza=74,k=3
Non-Ordinary step!!. step=28231, t=425871, gorputza=77,k=3
Non-Ordinary step!!. step=34821, t=525283, gorputza=72,k=5
Non-Ordinary step!!. step=34821, t=525283, gorputza=73,k=5
Non-Ordinary step!!. step=34821, t=525283, gorputza=74,k=5
Non-Ordinary step!!. step=34821, t=525283, gorputza=75,k=5
Non-Ordinary step!!. step=34821, t=525283, gorputza=76,k=5
Non-Ordinary step!!. step=34821, t=525283, gorputza=77,k=5
Non-Ordinary step!!. step=34822, t=525298, gorputza=72,k=5
Non-Ordinary step!!. step=34822, t=525298, gorputza=73,k=5
Non-Ordinary step!!. step=34822, t=525298, gorputza=74,k=5
Non-Ordinary step!!. step=34822, t=525298, gorputza=75,k=5
Non-Ordinary step!!. step=34822, t=525298, gorputza=76,k=5
Non-Ordinary step!!. step=34822, t=525298, gorputza=77,k=5
Non-Ordinary step!!. step=35822, t=540383, gorputza=80,k=3
Non-Ordinary step!!. step=35823, t=540398, gorputza=80,k=3
Non-Ordinary step!!. step=49232, t=742676, gorputza=72,k=4
Non-Ordinary step!!. step=49232, t=742676, gorputza=73,k=4
Non-Ordinary step!!. step=49232, t=742676, gorputza=74,k=4
Non-Ordinary step!!. step=49232, t=742676, gorputza=75,k=4
Non-Ordinary step!!. step=49232, t=742676, gorputza=76,k=4
Non-Ordinary step!!. step=49232, t=742676, gorputza=77,k=4
