Non-Ordinary step!!. step=1050585, t=525292, gorputza=72,k=3
Non-Ordinary step!!. step=1050586, t=525293, gorputza=72,k=3
Non-Ordinary step!!. step=1050586, t=525293, gorputza=75,k=3
Non-Ordinary step!!. step=1050587, t=525294, gorputza=72,k=4
Non-Ordinary step!!. step=1050587, t=525294, gorputza=73,k=4
Non-Ordinary step!!. step=1050587, t=525294, gorputza=74,k=4
Non-Ordinary step!!. step=1050587, t=525294, gorputza=75,k=4
Non-Ordinary step!!. step=1050587, t=525294, gorputza=77,k=4
Non-Ordinary step!!. step=1050588, t=525294, gorputza=72,k=4
Non-Ordinary step!!. step=1050588, t=525294, gorputza=74,k=4
Non-Ordinary step!!. step=1050588, t=525294, gorputza=75,k=4
Non-Ordinary step!!. step=1050588, t=525294, gorputza=77,k=4
Non-Ordinary step!!. step=1050589, t=525294, gorputza=72,k=5
Non-Ordinary step!!. step=1050589, t=525294, gorputza=73,k=5
Non-Ordinary step!!. step=1050589, t=525294, gorputza=74,k=5
Non-Ordinary step!!. step=1050589, t=525294, gorputza=75,k=5
Non-Ordinary step!!. step=1050589, t=525294, gorputza=76,k=5
Non-Ordinary step!!. step=1050589, t=525294, gorputza=77,k=5
Non-Ordinary step!!. step=1050590, t=525295, gorputza=72,k=5
Non-Ordinary step!!. step=1050590, t=525295, gorputza=73,k=5
Non-Ordinary step!!. step=1050590, t=525295, gorputza=74,k=5
Non-Ordinary step!!. step=1050590, t=525295, gorputza=75,k=5
Non-Ordinary step!!. step=1050590, t=525295, gorputza=76,k=5
Non-Ordinary step!!. step=1050590, t=525295, gorputza=77,k=5
Non-Ordinary step!!. step=1050591, t=525296, gorputza=72,k=5
Non-Ordinary step!!. step=1050591, t=525296, gorputza=73,k=5
Non-Ordinary step!!. step=1050591, t=525296, gorputza=74,k=5
Non-Ordinary step!!. step=1050591, t=525296, gorputza=75,k=5
Non-Ordinary step!!. step=1050591, t=525296, gorputza=76,k=5
Non-Ordinary step!!. step=1050591, t=525296, gorputza=77,k=5
Non-Ordinary step!!. step=1050592, t=525296, gorputza=72,k=5
Non-Ordinary step!!. step=1050592, t=525296, gorputza=73,k=5
Non-Ordinary step!!. step=1050592, t=525296, gorputza=74,k=5
Non-Ordinary step!!. step=1050592, t=525296, gorputza=75,k=5
Non-Ordinary step!!. step=1050592, t=525296, gorputza=76,k=5
Non-Ordinary step!!. step=1050592, t=525296, gorputza=77,k=5
Non-Ordinary step!!. step=1050593, t=525296, gorputza=72,k=6
Non-Ordinary step!!. step=1050593, t=525296, gorputza=73,k=6
Non-Ordinary step!!. step=1050593, t=525296, gorputza=74,k=6
Non-Ordinary step!!. step=1050593, t=525296, gorputza=75,k=6
Non-Ordinary step!!. step=1050593, t=525296, gorputza=76,k=6
Non-Ordinary step!!. step=1050593, t=525296, gorputza=77,k=6
Non-Ordinary step!!. step=1050594, t=525297, gorputza=29,k=6
Non-Ordinary step!!. step=1050594, t=525297, gorputza=72,k=6
Non-Ordinary step!!. step=1050594, t=525297, gorputza=73,k=6
Non-Ordinary step!!. step=1050594, t=525297, gorputza=74,k=6
Non-Ordinary step!!. step=1050594, t=525297, gorputza=75,k=6
Non-Ordinary step!!. step=1050594, t=525297, gorputza=76,k=6
Non-Ordinary step!!. step=1050594, t=525297, gorputza=77,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=29,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=32,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=72,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=73,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=74,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=75,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=76,k=6
Non-Ordinary step!!. step=1050595, t=525298, gorputza=77,k=6
Non-Ordinary step!!. step=1050596, t=525298, gorputza=72,k=6
Non-Ordinary step!!. step=1050596, t=525298, gorputza=73,k=6
Non-Ordinary step!!. step=1050596, t=525298, gorputza=74,k=6
Non-Ordinary step!!. step=1050596, t=525298, gorputza=75,k=6
Non-Ordinary step!!. step=1050596, t=525298, gorputza=76,k=6
Non-Ordinary step!!. step=1050596, t=525298, gorputza=77,k=6
Non-Ordinary step!!. step=1050597, t=525298, gorputza=29,k=6
Non-Ordinary step!!. step=1050597, t=525298, gorputza=72,k=6
Non-Ordinary step!!. step=1050597, t=525298, gorputza=73,k=6
Non-Ordinary step!!. step=1050597, t=525298, gorputza=74,k=6
Non-Ordinary step!!. step=1050597, t=525298, gorputza=75,k=6
Non-Ordinary step!!. step=1050597, t=525298, gorputza=76,k=6
Non-Ordinary step!!. step=1050597, t=525298, gorputza=77,k=6
Non-Ordinary step!!. step=1050598, t=525299, gorputza=29,k=5
Non-Ordinary step!!. step=1050598, t=525299, gorputza=32,k=5
Non-Ordinary step!!. step=1050598, t=525299, gorputza=72,k=5
Non-Ordinary step!!. step=1050598, t=525299, gorputza=73,k=5
Non-Ordinary step!!. step=1050598, t=525299, gorputza=74,k=5
Non-Ordinary step!!. step=1050598, t=525299, gorputza=75,k=5
Non-Ordinary step!!. step=1050598, t=525299, gorputza=76,k=5
Non-Ordinary step!!. step=1050598, t=525299, gorputza=77,k=5
Non-Ordinary step!!. step=1050599, t=525300, gorputza=72,k=5
Non-Ordinary step!!. step=1050599, t=525300, gorputza=73,k=5
Non-Ordinary step!!. step=1050599, t=525300, gorputza=74,k=5
Non-Ordinary step!!. step=1050599, t=525300, gorputza=75,k=5
Non-Ordinary step!!. step=1050599, t=525300, gorputza=76,k=5
Non-Ordinary step!!. step=1050599, t=525300, gorputza=77,k=5
Non-Ordinary step!!. step=1050600, t=525300, gorputza=72,k=5
Non-Ordinary step!!. step=1050600, t=525300, gorputza=73,k=5
Non-Ordinary step!!. step=1050600, t=525300, gorputza=74,k=5
Non-Ordinary step!!. step=1050600, t=525300, gorputza=75,k=5
Non-Ordinary step!!. step=1050600, t=525300, gorputza=76,k=5
Non-Ordinary step!!. step=1050600, t=525300, gorputza=77,k=5
Non-Ordinary step!!. step=1050601, t=525300, gorputza=72,k=5
Non-Ordinary step!!. step=1050601, t=525300, gorputza=73,k=5
Non-Ordinary step!!. step=1050601, t=525300, gorputza=74,k=5
Non-Ordinary step!!. step=1050601, t=525300, gorputza=75,k=5
Non-Ordinary step!!. step=1050601, t=525300, gorputza=76,k=5
Non-Ordinary step!!. step=1050601, t=525300, gorputza=77,k=5
Non-Ordinary step!!. step=1050602, t=525301, gorputza=72,k=4
Non-Ordinary step!!. step=1050602, t=525301, gorputza=73,k=4
Non-Ordinary step!!. step=1050602, t=525301, gorputza=74,k=4
Non-Ordinary step!!. step=1050602, t=525301, gorputza=75,k=4
Non-Ordinary step!!. step=1050602, t=525301, gorputza=76,k=4
Non-Ordinary step!!. step=1050602, t=525301, gorputza=77,k=4
Non-Ordinary step!!. step=1050603, t=525302, gorputza=72,k=4
Non-Ordinary step!!. step=1050603, t=525302, gorputza=74,k=4
Non-Ordinary step!!. step=1050603, t=525302, gorputza=75,k=4
Non-Ordinary step!!. step=1050603, t=525302, gorputza=77,k=4
Non-Ordinary step!!. step=1050604, t=525302, gorputza=73,k=4
Non-Ordinary step!!. step=1050604, t=525302, gorputza=74,k=4
Non-Ordinary step!!. step=1050604, t=525302, gorputza=76,k=4
Non-Ordinary step!!. step=1050604, t=525302, gorputza=77,k=4
Non-Ordinary step!!. step=1050605, t=525302, gorputza=72,k=4
Non-Ordinary step!!. step=1050605, t=525302, gorputza=73,k=4
Non-Ordinary step!!. step=1050605, t=525302, gorputza=74,k=4
Non-Ordinary step!!. step=1050605, t=525302, gorputza=75,k=4
Non-Ordinary step!!. step=1050605, t=525302, gorputza=76,k=4
Non-Ordinary step!!. step=1050605, t=525302, gorputza=77,k=4
Non-Ordinary step!!. step=1050606, t=525303, gorputza=72,k=3
Non-Ordinary step!!. step=1050606, t=525303, gorputza=75,k=3
Non-Ordinary step!!. step=1485375, t=742688, gorputza=73,k=3
Non-Ordinary step!!. step=1485376, t=742688, gorputza=74,k=3
Non-Ordinary step!!. step=1485376, t=742688, gorputza=77,k=3
Non-Ordinary step!!. step=1485377, t=742688, gorputza=74,k=3
Non-Ordinary step!!. step=1485377, t=742688, gorputza=77,k=3
Non-Ordinary step!!. step=1485378, t=742689, gorputza=77,k=3
Non-Ordinary step!!. step=1485379, t=742690, gorputza=73,k=3
Non-Ordinary step!!. step=2233360, t=1.11668e+06, gorputza=83,k=3
Non-Ordinary step!!. step=2233361, t=1.11668e+06, gorputza=83,k=3
Non-Ordinary step!!. step=2233362, t=1.11668e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233363, t=1.11668e+06, gorputza=81,k=3
Non-Ordinary step!!. step=2233363, t=1.11668e+06, gorputza=82,k=3
Non-Ordinary step!!. step=2233363, t=1.11668e+06, gorputza=83,k=3
Non-Ordinary step!!. step=2233364, t=1.11668e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233364, t=1.11668e+06, gorputza=82,k=4
Non-Ordinary step!!. step=2233364, t=1.11668e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233365, t=1.11668e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233365, t=1.11668e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233366, t=1.11668e+06, gorputza=82,k=5
Non-Ordinary step!!. step=2233366, t=1.11668e+06, gorputza=83,k=5
Non-Ordinary step!!. step=2233367, t=1.11668e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233367, t=1.11668e+06, gorputza=82,k=4
Non-Ordinary step!!. step=2233367, t=1.11668e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233368, t=1.11668e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233368, t=1.11668e+06, gorputza=82,k=4
Non-Ordinary step!!. step=2233368, t=1.11668e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233369, t=1.11668e+06, gorputza=81,k=5
Non-Ordinary step!!. step=2233369, t=1.11668e+06, gorputza=82,k=5
Non-Ordinary step!!. step=2233369, t=1.11668e+06, gorputza=83,k=5
Non-Ordinary step!!. step=2233370, t=1.11668e+06, gorputza=81,k=5
Non-Ordinary step!!. step=2233370, t=1.11668e+06, gorputza=82,k=5
Non-Ordinary step!!. step=2233370, t=1.11668e+06, gorputza=83,k=5
Non-Ordinary step!!. step=2233371, t=1.11669e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233371, t=1.11669e+06, gorputza=82,k=4
Non-Ordinary step!!. step=2233371, t=1.11669e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233372, t=1.11669e+06, gorputza=81,k=5
Non-Ordinary step!!. step=2233372, t=1.11669e+06, gorputza=83,k=5
Non-Ordinary step!!. step=2233373, t=1.11669e+06, gorputza=81,k=5
Non-Ordinary step!!. step=2233373, t=1.11669e+06, gorputza=82,k=5
Non-Ordinary step!!. step=2233373, t=1.11669e+06, gorputza=83,k=5
Non-Ordinary step!!. step=2233374, t=1.11669e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233374, t=1.11669e+06, gorputza=82,k=4
Non-Ordinary step!!. step=2233374, t=1.11669e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233375, t=1.11669e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233375, t=1.11669e+06, gorputza=82,k=4
Non-Ordinary step!!. step=2233376, t=1.11669e+06, gorputza=81,k=4
Non-Ordinary step!!. step=2233376, t=1.11669e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233377, t=1.11669e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233378, t=1.11669e+06, gorputza=83,k=4
Non-Ordinary step!!. step=2233379, t=1.11669e+06, gorputza=83,k=3
Non-Ordinary step!!. step=4199646, t=2.09982e+06, gorputza=81,k=3
Non-Ordinary step!!. step=4199647, t=2.09982e+06, gorputza=81,k=4
Non-Ordinary step!!. step=4199647, t=2.09982e+06, gorputza=82,k=4
Non-Ordinary step!!. step=4199647, t=2.09982e+06, gorputza=83,k=4
Non-Ordinary step!!. step=4199648, t=2.09982e+06, gorputza=81,k=4
Non-Ordinary step!!. step=4199648, t=2.09982e+06, gorputza=82,k=4
Non-Ordinary step!!. step=4199648, t=2.09982e+06, gorputza=83,k=4
Non-Ordinary step!!. step=4199649, t=2.09982e+06, gorputza=81,k=4
Non-Ordinary step!!. step=4199649, t=2.09982e+06, gorputza=82,k=4
Non-Ordinary step!!. step=4199649, t=2.09982e+06, gorputza=83,k=4
Non-Ordinary step!!. step=4199650, t=2.09982e+06, gorputza=81,k=5
Non-Ordinary step!!. step=4199650, t=2.09982e+06, gorputza=83,k=5
Non-Ordinary step!!. step=4199651, t=2.09983e+06, gorputza=81,k=5
Non-Ordinary step!!. step=4199651, t=2.09983e+06, gorputza=82,k=5
Non-Ordinary step!!. step=4199651, t=2.09983e+06, gorputza=83,k=5
Non-Ordinary step!!. step=4199652, t=2.09983e+06, gorputza=38,k=6
Non-Ordinary step!!. step=4199652, t=2.09983e+06, gorputza=71,k=6
Non-Ordinary step!!. step=4199652, t=2.09983e+06, gorputza=81,k=6
Non-Ordinary step!!. step=4199652, t=2.09983e+06, gorputza=82,k=6
Non-Ordinary step!!. step=4199652, t=2.09983e+06, gorputza=83,k=6
Non-Ordinary step!!. step=4199653, t=2.09983e+06, gorputza=38,k=6
